word	probability	surprisal
▁شد	0.8773238062858582	0.1888186780979726
▁اتفاق	9.460531146032736e-05	13.367719290847173
▁چندان	0.0003916023124475032	11.318323095336405
▁خارق	0.00047468976117670536	11.040727447664763
‌	0.19362303614616394	2.3686774885726276
العاده	0.9795292019844055	0.02983959174611731
‌	0.9166791439056396	0.1255112449257333
ای	0.9870057106018066	0.01886966305971842
▁نیفتاده	0.03222348541021347	4.955743640110243
▁بود	0.12062707543373108	3.0513743301879455
▁و	0.13940036296844482	2.8426937772097665
▁آلیس	7.0331971073755994e-06	17.11738791950754
▁هم	0.02823181264102459	5.146534428884263
▁پیش	0.002514191437512636	8.63568977991756
▁خود	0.016045965254306793	5.96164561139119
▁اندیشید	0.0034564840607345104	8.17647901186013
▁چندان	1.4996464415162336e-05	16.025018065178767
